# Force coefficients
# liftDir    : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 2.000000e+01
# lRef       : 1.420000e+00
# Aref       : 7.500000e-01
# CofR       : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	6.499932e+00	3.109670e+00	-4.103195e-02	6.479416e+00	-6.520447e+00
2            	7.152266e+00	3.417571e+00	-4.453979e-02	7.129996e+00	-7.174535e+00
3            	6.527723e+00	3.125619e+00	-6.908218e-02	6.493182e+00	-6.562264e+00
4            	6.133818e+00	2.943116e+00	-8.951621e-02	6.089060e+00	-6.178576e+00
5            	5.868088e+00	2.820439e+00	-9.108679e-02	5.822545e+00	-5.913632e+00
6            	5.695793e+00	2.736963e+00	-9.026457e-02	5.650661e+00	-5.740925e+00
7            	5.529375e+00	2.655031e+00	-7.604674e-02	5.491351e+00	-5.567398e+00
8            	5.386805e+00	2.586445e+00	-6.646834e-02	5.353571e+00	-5.420039e+00
9            	5.251339e+00	2.526212e+00	-7.201688e-02	5.215330e+00	-5.287347e+00
10           	5.148809e+00	2.482754e+00	-7.981326e-02	5.108903e+00	-5.188716e+00
11           	5.067882e+00	2.448591e+00	-8.648440e-02	5.024640e+00	-5.111124e+00
12           	5.011059e+00	2.423077e+00	-9.391199e-02	4.964103e+00	-5.058015e+00
13           	4.956571e+00	2.400887e+00	-1.092135e-01	4.901965e+00	-5.011178e+00
14           	4.909795e+00	2.381137e+00	-1.182750e-01	4.850657e+00	-4.968932e+00
15           	4.859500e+00	2.359398e+00	-1.252555e-01	4.796872e+00	-4.922127e+00
16           	4.807365e+00	2.336540e+00	-1.306081e-01	4.742061e+00	-4.872669e+00
17           	4.758875e+00	2.315696e+00	-1.354779e-01	4.691136e+00	-4.826614e+00
18           	4.724981e+00	2.300857e+00	-1.373758e-01	4.656293e+00	-4.793668e+00
19           	4.701017e+00	2.291241e+00	-1.398112e-01	4.631111e+00	-4.770922e+00
20           	4.688372e+00	2.285418e+00	-1.385699e-01	4.619087e+00	-4.757657e+00
21           	4.682796e+00	2.281809e+00	-1.348797e-01	4.615356e+00	-4.750236e+00
22           	4.689447e+00	2.281639e+00	-1.266593e-01	4.626118e+00	-4.752777e+00
23           	4.704324e+00	2.284326e+00	-1.171594e-01	4.645744e+00	-4.762904e+00
24           	4.731393e+00	2.292950e+00	-1.099708e-01	4.676407e+00	-4.786378e+00
25           	4.772525e+00	2.309529e+00	-1.084297e-01	4.718310e+00	-4.826740e+00
26           	4.826534e+00	2.335806e+00	-1.176985e-01	4.767684e+00	-4.885383e+00
